rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
186,vrije universiteit amsterdam,nl,34,33,51.16,0.34155274803718416,0.7257249476560449,1.0,0.5058823529411764,True,0.17647058823529413,-0.338440391346229,0.5588235294117647,0.0,32.4,23.5,2.9,0.0,2.9,8.8,8.8,20.6
187,università degli studi di bologna,it,16,13,51.1,0.35431916987841855,0.6274763103729563,1.0,0.7,True,0.5,-0.06410362704063471,0.375,0.0,12.5,6.2,0.0,0.0,0.0,18.8,25.0,37.5
188,universidade estadual de campinas,br,41,34,51.04,0.31475608561138335,0.7317892979250235,1.0,0.5609756097560976,True,0.2682926829268293,-0.1443703473982722,0.14634146341463414,0.0,48.8,2.4,2.4,2.4,0.0,9.8,9.8,24.4
189,university of calgary,ca,18,18,50.99,0.32988083391559886,0.7260301887743796,1.0,0.5333333333333333,True,0.2222222222222222,-0.1698656653220681,0.5555555555555556,0.0,50.0,0.0,0.0,5.6,0.0,5.6,5.6,33.3
190,university of tokyo,jp,21,20,50.67,0.31207322413983873,0.7643694432543031,1.0,0.4857142857142857,True,0.14285714285714285,-0.24856730233745356,0.2857142857142857,0.0,61.9,0.0,4.8,0.0,0.0,19.0,0.0,14.3
191,banaras hindu university,in,16,15,50.4,0.29157174036115674,0.7260874214840674,1.0,0.625,True,0.375,-0.0722670436169488,0.125,0.0,50.0,0.0,6.2,0.0,0.0,6.2,6.2,31.2
192,university of surrey,gb,15,15,50.17,0.3388204659148806,0.6982613478121836,1.0,0.56,True,0.26666666666666666,-0.16011630406042648,0.5333333333333333,0.0,40.0,0.0,6.7,0.0,0.0,13.3,13.3,26.7
193,rice university,us,19,18,50.05,0.35128826535951985,0.7394653121391392,1.0,0.42850701402805613,False,1.0,0.2576084983568203,0.3684210526315789,0.0,52.6,0.0,5.3,5.3,5.3,5.3,10.5,15.8
194,bocconi university,it,17,17,49.98,0.35047317608128825,0.6915985722547683,1.0,0.5411764705882354,True,0.23529411764705882,-0.2462080164626977,0.7058823529411765,0.0,29.4,11.8,0.0,5.9,0.0,5.9,11.8,35.3
195,university of guelph,ca,15,15,49.47,0.30050826639659656,0.7368327763836122,1.0,0.56,True,0.26666666666666666,-0.15775318018041823,0.6,0.0,46.7,13.3,0.0,6.7,0.0,20.0,6.7,6.7
196,politecnico di milano,it,17,17,49.44,0.3131410928992953,0.6848418154980115,1.0,0.6470588235294118,True,0.4117647058823529,-0.06660455408106558,0.6470588235294118,0.0,11.8,35.3,5.9,0.0,0.0,17.6,17.6,11.8
197,university of hyderabad,in,39,35,49.34,0.26392419552901886,0.7803245283631598,1.0,0.5538461538461539,True,0.2564102564102564,-0.06382046309581008,0.0,0.0,59.0,2.6,2.6,2.6,5.1,12.8,2.6,12.8
198,university of western australia,au,18,14,49.08,0.35229158505432673,0.6576091361428006,1.0,0.6,True,0.3333333333333333,-0.14224507654809898,0.4444444444444444,0.0,22.2,0.0,5.6,5.6,0.0,16.7,16.7,33.3
199,university of essex,gb,59,57,49.06,0.3682696525646292,0.7074575591572966,1.0,0.44067796610169496,True,0.06779661016949153,-0.4288264207925655,0.6271186440677966,0.0,35.6,6.8,3.4,1.7,0.0,18.6,3.4,30.5
200,huazhong university of science and technology,cn,29,29,48.96,0.3069771996132268,0.7232479014984985,1.0,0.5655172413793104,True,0.27586206896551724,-0.12255372321241909,0.3448275862068966,0.0,51.7,0.0,0.0,0.0,0.0,3.4,10.3,34.5
201,universitat autònoma de barcelona,es,67,62,48.72,0.3588649489462702,0.7061970939474302,1.0,0.4626865671641791,True,0.1044776119402985,-0.3099427753336712,0.6119402985074627,0.0,43.3,0.0,3.0,1.5,1.5,16.4,11.9,22.4
202,clemson university,us,24,24,48.69,0.31853398858806165,0.7361169812142371,1.0,0.5,True,0.16666666666666666,-0.22108573316922714,0.20833333333333334,0.0,50.0,8.3,0.0,4.2,0.0,8.3,12.5,16.7
203,"university of california, irvine",us,16,15,48.68,0.3423404873565128,0.7788651992618453,1.0,0.33652304609218436,False,0.8125,0.15756436823385592,0.5,0.0,75.0,0.0,0.0,0.0,0.0,6.2,0.0,18.8
204,obafemi awolowo university,ng,27,26,48.61,0.26474942741242613,0.7731733441154559,1.0,0.5555555555555556,True,0.25925925925925924,-0.06861555229400346,0.1111111111111111,0.0,66.7,0.0,0.0,0.0,0.0,7.4,3.7,22.2
205,sapienza university of rome,it,26,25,48.39,0.34939783542208286,0.6030249385527484,1.0,0.7230769230769231,True,0.5384615384615384,0.02989336376702567,0.2692307692307692,0.0,7.7,0.0,0.0,7.7,0.0,30.8,15.4,38.5
206,university of fort hare,za,19,17,48.09,0.2992841343707335,0.6881832608570878,1.0,0.6526315789473685,True,0.42105263157894735,-0.005998598005919009,0.21052631578947367,0.0,31.6,10.5,0.0,0.0,0.0,10.5,10.5,36.8
207,wuhan university,cn,48,43,47.91,0.31642295796694386,0.7380756937268592,1.0,0.48750000000000004,True,0.14583333333333334,-0.21574729237431783,0.16666666666666666,0.0,50.0,2.1,0.0,0.0,0.0,8.3,2.1,37.5
208,jawaharlal nehru university,in,48,43,47.83,0.28299430790948327,0.7542521643150946,1.0,0.5375,True,0.22916666666666666,-0.1910372874963947,0.1875,0.0,47.9,2.1,2.1,14.6,2.1,4.2,8.3,18.8
209,university of queensland,au,28,25,47.64,0.3597339860246145,0.6872738994463838,1.0,0.4857142857142857,True,0.14285714285714285,-0.23252652697664217,0.5714285714285714,0.0,32.1,3.6,3.6,3.6,3.6,25.0,10.7,17.9
210,jinan university,cn,15,14,47.58,0.324372944571319,0.7296899192407551,1.0,0.48000000000000004,True,0.13333333333333333,-0.2443253995365537,0.0,0.0,53.3,0.0,0.0,0.0,0.0,6.7,0.0,40.0
211,university of warsaw,pl,21,21,47.57,0.3013023076729212,0.716808467644547,1.0,0.5714285714285714,True,0.2857142857142857,-0.15972401711749146,0.3333333333333333,0.0,38.1,9.5,9.5,0.0,4.8,9.5,14.3,14.3
212,università ca' foscari,it,20,16,46.81,0.3468187881513127,0.6297286793356607,1.0,0.64,True,0.4,-0.037994457327333475,0.45,0.0,0.0,25.0,0.0,0.0,0.0,25.0,15.0,35.0
213,auburn university,us,16,16,46.75,0.2948329891784483,0.7594207548174007,1.0,0.47500000000000003,True,0.125,-0.2630510523856711,0.375,0.0,62.5,0.0,6.2,0.0,0.0,6.2,0.0,25.0
214,aix-marseille université,fr,21,21,46.69,0.32111122728044056,0.6631499310591812,1.0,0.6285714285714286,True,0.38095238095238093,-0.014685897270234338,0.6190476190476191,0.0,14.3,14.3,4.8,0.0,0.0,14.3,4.8,47.6
215,ku leuven,be,47,41,46.63,0.33342744588523815,0.6864051816929317,1.0,0.5404255319148936,True,0.23404255319148937,-0.21097482074428509,0.6170212765957447,0.0,29.8,8.5,0.0,0.0,6.4,14.9,4.3,36.2
216,university of ljubljana,si,17,16,46.62,0.30225650758432937,0.7064634371196331,1.0,0.5764705882352942,True,0.29411764705882354,-0.09029453388422676,0.5882352941176471,0.0,35.3,0.0,11.8,0.0,0.0,17.6,0.0,35.3
217,claremont graduate university,us,27,27,46.42,0.3053949008463363,0.700832918583541,1.0,0.5777777777777777,True,0.2962962962962963,-0.12450544677636194,0.4074074074074074,0.0,40.7,7.4,0.0,0.0,0.0,22.2,14.8,14.8
218,université paris 1 panthéon-sorbonne,fr,34,33,46.37,0.32052785074843054,0.698873095804193,1.0,0.5411764705882354,True,0.23529411764705882,-0.18334245508115143,0.5294117647058824,0.0,35.3,8.8,5.9,2.9,0.0,5.9,17.6,23.5
219,norwegian university of life sciences,no,19,18,46.1,0.3099737545657342,0.6881832608570878,1.0,0.5894736842105264,True,0.3157894736842105,-0.03455495836785705,0.47368421052631576,0.0,15.8,21.1,5.3,0.0,10.5,21.1,5.3,21.1
220,marmara university,tr,32,28,46.08,0.3021905877043545,0.7219066764120468,1.0,0.53125,True,0.21875,-0.09646294947340317,0.21875,0.0,40.6,9.4,6.2,0.0,3.1,6.2,12.5,21.9
