rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
192,university of california santa cruz,us,25,23,64.69,0.35552661994614126,0.7038444447525939,1.0,0.688,True,0.48,-0.026200028435546585,0.32,0.0,36.0,8.0,0.0,0.0,4.0,4.0,8.0,40.0
193,national institute of technology,in,25,25,64.64,0.31761148295404856,0.7982888891970383,1.0,0.5680000000000001,True,0.28,-0.09444727502131345,0.0,0.0,64.0,4.0,4.0,12.0,0.0,0.0,4.0,12.0
194,fudan university,cn,40,36,64.54,0.39506384615726214,0.6653833335644455,1.0,0.67,True,0.45,-0.09805771397334356,0.25,0.0,25.0,7.5,2.5,0.0,2.5,15.0,10.0,37.5
195,university of east anglia,gb,31,28,64.36,0.332658154517475,0.7102549022326808,1.0,0.7290322580645161,True,0.5483870967741935,0.023890628246128864,0.5483870967741935,0.0,29.0,12.9,3.2,0.0,6.5,19.4,0.0,29.0
196,saarland university,de,25,22,64.35,0.36208483978843414,0.683844444752594,1.0,0.712,True,0.52,0.0129520557312644,0.32,0.0,8.0,32.0,4.0,0.0,4.0,20.0,4.0,28.0
197,arizona state university,us,79,74,64.23,0.4075563874125086,0.6997272728673406,1.0,0.5518987341772152,True,0.25316455696202533,-0.33077832639069876,0.21518987341772153,0.0,27.8,12.7,3.8,0.0,11.4,11.4,7.6,25.3
198,university of south florida,us,21,20,64.15,0.38390233845221905,0.6688536588747982,1.0,0.6857142857142857,True,0.47619047619047616,-0.06182366991538085,0.3333333333333333,0.0,28.6,0.0,0.0,0.0,9.5,14.3,14.3,33.3
199,university of salford,gb,24,20,63.95,0.30723136198160406,0.7812045457696984,1.0,0.625,True,0.375,-0.13702402341495684,0.8333333333333334,0.0,54.2,12.5,8.3,4.2,4.2,8.3,8.3,0.0
200,florida international university,us,46,42,63.94,0.3900136656716421,0.693530303240405,1.0,0.6086956521739131,True,0.34782608695652173,-0.16295013392007046,0.2391304347826087,0.0,21.7,17.4,4.3,0.0,10.9,17.4,6.5,21.7
201,university of tsukuba,jp,19,17,63.9,0.34283344038625957,0.6877692311247878,1.0,0.7473684210526317,True,0.5789473684210527,0.02060314597764068,0.2631578947368421,0.0,10.5,10.5,10.5,21.1,0.0,31.6,5.3,10.5
202,university of sao paulo,br,17,17,63.86,0.32496183413038454,0.7357567571315332,1.0,0.6823529411764706,True,0.47058823529411764,-0.044602496455270646,0.29411764705882354,0.0,35.3,29.4,0.0,0.0,5.9,11.8,11.8,5.9
203,simon fraser university,ca,36,32,63.81,0.3880576143786545,0.6986250002476202,1.0,0.6,True,0.3333333333333333,-0.2224413204940351,0.4722222222222222,0.0,27.8,11.1,5.6,0.0,5.6,13.9,5.6,30.6
204,shanghai jiao tong university,cn,50,48,63.74,0.43129769475466334,0.6624714287695247,1.0,0.5680000000000001,True,0.28,-0.2385221242834854,0.5,0.0,28.0,6.0,2.0,0.0,0.0,26.0,12.0,26.0
205,university of wisconsin–madison,us,36,32,63.66,0.4106359090767043,0.6861250002476201,1.0,0.5666666666666667,True,0.2777777777777778,-0.19535194819556856,0.16666666666666666,0.0,27.8,13.9,0.0,0.0,8.3,2.8,13.9,33.3
206,sungkyunkwan university,kr,19,19,63.59,0.34787899176506176,0.7070000003555571,1.0,0.6842105263157895,True,0.47368421052631576,0.06829933978930353,0.47368421052631576,0.0,31.6,15.8,0.0,0.0,0.0,42.1,5.3,5.3
207,universidade de coimbra,pt,25,22,63.54,0.32244170573645364,0.723844444752594,1.0,0.712,True,0.52,0.010504077773579035,0.48,0.0,36.0,8.0,4.0,4.0,8.0,8.0,4.0,28.0
208,university of louisville,us,26,25,63.33,0.347427157718131,0.728760869866668,1.0,0.6307692307692307,True,0.38461538461538464,-0.08792758691101898,0.3076923076923077,0.0,34.6,15.4,7.7,3.8,3.8,7.7,11.5,15.4
209,the ohio state university,us,104,97,63.32,0.3927110925604949,0.7090564517247316,1.0,0.5557692307692308,True,0.25961538461538464,-0.2403933668403166,0.20192307692307693,0.0,29.8,10.6,1.9,1.0,13.5,15.4,2.9,25.0
210,university of sydney,au,15,11,63.29,0.3645959781557557,0.7392285718247636,1.0,0.56,True,0.26666666666666666,-0.1732579203486566,0.26666666666666666,0.0,46.7,6.7,6.7,0.0,0.0,20.0,0.0,20.0
211,university of utah,us,71,61,63.27,0.40999593849168486,0.6760769232293046,1.0,0.5859154929577465,True,0.30985915492957744,-0.17264426274653505,0.16901408450704225,0.0,25.4,8.5,7.0,0.0,5.6,16.9,9.9,26.8
212,tokyo institute of technology,jp,47,41,63.18,0.3452379170370328,0.7033283584159213,1.0,0.6936170212765957,True,0.48936170212765956,-0.03418271736086165,0.48936170212765956,0.0,21.3,17.0,10.6,4.3,0.0,17.0,4.3,25.5
213,binghamton university,us,20,20,63.17,0.35927142701189796,0.7230750003466682,1.0,0.61,True,0.35,-0.10710665489702775,0.25,0.0,35.0,15.0,0.0,0.0,5.0,10.0,0.0,35.0
214,the university of tokyo,jp,24,23,63.13,0.36973086255832804,0.6937045457696983,1.0,0.65,True,0.4166666666666667,-0.09775180380166926,0.4166666666666667,0.0,16.7,25.0,0.0,4.2,4.2,20.8,4.2,25.0
215,university of york,gb,68,63,63.11,0.3793452816199532,0.7178750001575764,1.0,0.5676470588235294,True,0.27941176470588236,-0.17766320377193728,0.6617647058823529,0.0,41.2,7.4,0.0,0.0,5.9,23.5,10.3,11.8
216,university of florida,us,90,85,63.03,0.39985418978117065,0.7029363637624249,1.0,0.5466666666666666,True,0.24444444444444444,-0.2878172946392167,0.2222222222222222,0.0,31.1,11.1,4.4,0.0,4.4,14.4,6.7,27.8
217,"university of california, irvine",us,33,32,62.98,0.3734645911255897,0.67873584931824,1.0,0.6727272727272727,True,0.45454545454545453,-0.13683144387875512,0.15151515151515152,0.0,18.2,18.2,6.1,0.0,3.0,15.2,9.1,30.3
218,chinese academy of sciences,cn,25,22,62.83,0.36313227743856785,0.713844444752594,1.0,0.616,True,0.36,-0.07772931036420277,0.2,0.0,28.0,12.0,12.0,0.0,4.0,16.0,4.0,24.0
219,texas tech university,us,29,29,62.72,0.32749381002564615,0.7045510206911577,1.0,0.7310344827586207,True,0.5517241379310345,0.06230222532337937,0.20689655172413793,0.0,27.6,10.3,6.9,0.0,17.2,3.4,10.3,24.1
220,the hong kong polytechnic university,hk,18,15,62.69,0.39505089531509074,0.6690263161543876,1.0,0.6333333333333333,True,0.3888888888888889,-0.15894946529192755,0.7777777777777778,0.0,27.8,0.0,5.6,0.0,0.0,38.9,16.7,11.1
221,university of leeds,gb,57,50,62.66,0.40487450620181054,0.6944545456346328,1.0,0.5473684210526316,True,0.24561403508771928,-0.20931591990583592,0.6140350877192983,0.0,31.6,5.3,1.8,5.3,5.3,26.3,7.0,17.5
222,university of ottawa,ca,43,42,62.63,0.34072114982524326,0.7829047621248688,1.0,0.5116279069767442,True,0.18604651162790697,-0.2540273547841073,0.5116279069767442,0.0,48.8,16.3,7.0,0.0,2.3,4.7,4.7,16.3
223,national central university,tw,36,31,62.5,0.31183679855547275,0.7771964288190487,1.0,0.6,True,0.3333333333333333,-0.1533502855966951,0.3055555555555556,0.0,61.1,0.0,2.8,0.0,0.0,8.3,0.0,27.8
224,visvesvaraya technological university,in,81,72,62.37,0.25125956945842626,0.84874257439472,1.0,0.5925925925925926,True,0.32098765432098764,-0.044774420386202524,0.024691358024691357,0.0,77.8,2.5,0.0,1.2,1.2,0.0,9.9,7.4
225,universiti teknologi petronas,my,28,27,62.35,0.31276447707571087,0.7598541669555567,1.0,0.6357142857142857,True,0.39285714285714285,-0.007979311058820104,0.7142857142857143,0.0,57.1,3.6,0.0,0.0,7.1,0.0,7.1,25.0
226,concordia university,ca,71,67,62.26,0.355350566096234,0.746406593558975,1.0,0.5521126760563381,True,0.2535211267605634,-0.2426826977885918,0.647887323943662,0.0,42.3,8.5,7.0,0.0,5.6,18.3,7.0,11.3
227,university of arizona,us,39,39,62.24,0.3789347293934474,0.6724237290485886,1.0,0.6615384615384616,True,0.4358974358974359,-0.12124385082649997,0.10256410256410256,0.0,17.9,15.4,5.1,0.0,12.8,20.5,12.8,15.4
228,university of reading,gb,16,14,62.23,0.39957856560649674,0.7464722226074092,1.0,0.43365105677579774,False,0.875,0.29862206027957,0.75,0.0,56.2,0.0,0.0,0.0,6.2,25.0,0.0,12.5
229,university of memphis,us,17,17,62.21,0.32642510544706177,0.7384594598342358,1.0,0.6470588235294118,True,0.4117647058823529,-0.11446491622935012,0.11764705882352941,0.0,52.9,0.0,0.0,0.0,11.8,17.6,5.9,11.8
230,university of north carolina at chapel hill,us,47,43,62.07,0.398113185849194,0.6794477614009959,1.0,0.5914893617021277,True,0.3191489361702128,-0.1738113710112978,0.10638297872340426,0.0,25.5,10.6,2.1,0.0,10.6,17.0,10.6,23.4
231,national university of defense technology,cn,17,16,61.85,0.40147534107668553,0.5898108111855872,1.0,0.7882352941176471,True,0.6470588235294118,0.07045759460855372,0.5882352941176471,0.0,5.9,0.0,0.0,0.0,0.0,29.4,41.2,23.5
232,huazhong university of science and technology,cn,77,65,61.82,0.3720566578648128,0.7028144331326467,1.0,0.6025974025974026,True,0.33766233766233766,-0.14979750203400005,0.3116883116883117,0.0,36.4,2.6,7.8,0.0,1.3,15.6,7.8,28.6
233,university of virginia,us,51,48,61.76,0.38880409865260873,0.7045492959699539,1.0,0.5529411764705883,True,0.2549019607843137,-0.3214860014271069,0.19607843137254902,0.0,33.3,7.8,2.0,2.0,5.9,17.6,5.9,25.5
234,eth zurich,ch,45,39,61.72,0.4394114743754171,0.6434307694441036,1.0,0.56,True,0.26666666666666666,-0.2690774305068697,0.7111111111111111,0.0,20.0,8.9,2.2,0.0,4.4,24.4,15.6,24.4
235,national chiao tung university,tw,35,28,61.66,0.3495461989364088,0.7849636366157586,1.0,0.4685714285714286,True,0.11428571428571428,-0.2358671246789814,0.2,0.0,62.9,2.9,2.9,0.0,0.0,17.1,2.9,11.4
236,university of essex,gb,53,52,61.64,0.32655615084645956,0.7434657536146126,1.0,0.6264150943396227,True,0.37735849056603776,-0.08942405668890491,0.6981132075471698,0.0,39.6,11.3,5.7,0.0,5.7,15.1,3.8,18.9
237,university of isfahan,ir,18,15,61.61,0.3372606970617573,0.7137631582596508,1.0,0.6666666666666667,True,0.4444444444444444,-0.020247059780350796,0.2777777777777778,0.0,50.0,0.0,0.0,0.0,0.0,16.7,16.7,16.7
238,university of cambridge,gb,93,84,61.59,0.4526072471259671,0.6435663718041303,1.0,0.5225806451612903,True,0.20430107526881722,-0.3031604952941845,0.4946236559139785,0.0,18.3,14.0,4.3,1.1,2.2,19.4,15.1,25.8
239,university of colorado boulder,us,65,59,61.57,0.3938391741611731,0.703800000163138,1.0,0.5384615384615385,True,0.23076923076923078,-0.28717817427837145,0.18461538461538463,0.0,21.5,18.5,9.2,0.0,9.2,13.8,6.2,21.5
240,university of portsmouth,gb,16,17,61.4,0.30704775184373134,0.7401813729342064,1.0,0.6823529411764706,True,0.47058823529411764,-0.08309924839751498,0.29411764705882354,0.0,50.0,0.0,18.8,0.0,0.0,12.5,6.2,18.8
